80000,7640.0,6966.0,7349.0,6988.0,7500.0
160000,6672.0,7352.0,7806.0,7281.0,6678.0
240000,3018.0,6644.0,7163.0,6779.0,6267.0
320000,3463.0,8370.0,7461.0,8196.0,7517.0
400000,2081.0,8359.0,8245.0,8417.0,7585.0
480000,878.0,7425.0,6711.0,7415.0,5719.0
560000,3876.0,8568.0,7986.0,8150.0,8192.0
640000,3115.0,9229.0,7032.0,8566.0,7558.0
720000,3063.0,9336.0,8329.0,9420.0,8943.0
800000,2848.0,8264.0,7049.0,8344.0,8167.0
880000,3351.0,9248.0,7949.0,9276.0,8614.0
960000,3459.0,9332.0,8169.0,9303.0,8867.0
1040000,3243.0,9189.0,7801.0,9353.0,9065.0
1120000,2894.0,8512.0,7992.0,8970.0,8826.0
1200000,3116.0,8890.0,7687.0,8677.0,8827.0
1280000,3746.0,9422.0,7379.0,9472.0,7842.0
1360000,3111.0,8893.0,8385.0,8766.0,8818.0
1440000,4048.0,8836.0,7569.0,8713.0,8866.0
1520000,3356.0,9517.0,8126.0,9497.0,9151.0
1600000,2938.0,8919.0,8032.0,8896.0,8932.0
1680000,2910.0,7977.0,7085.0,7748.0,7987.0
1760000,2880.0,8044.0,6743.0,7763.0,7801.0
1840000,2356.0,7953.0,7627.0,8088.0,7999.0
1920000,2078.0,8467.0,7192.0,8419.0,7278.0
2000000,2015.0,6720.0,6362.0,7191.0,7222.0
2080000,1776.0,8513.0,7807.0,8741.0,8552.0
